"sex","aage","AJBHRS","ancars","avote","aregion","ajbstat","ajbterm","ahhsize","atenure","afihhyr"
2,56,39,"1","2","16","2","1","2","2",18275.78125
2,33,17,"2","2","18","2","1","4","2",22072.279296875
1,53,42,"2","1","3","2","1","3","1",19175.552734375
2,53,37,"1","2","3","2","1","3","2",20568.73046875
2,26,15,"1","3","16","2","1","2","2",12959.876953125
1,58,35,"1","1","5","2","1","3","2",22204.83984375
2,21,40,"3","1","14","2","1","4","2",43958.6171875
1,42,35,"2","1","3","2","1","4","2",31605.18359375
2,60,24,"1","1","1","2","1","2","1",31496.83984375
2,26,37,"1","10","3","2","1","1","2",17813.716796875
2,44,36,"2","1","2","2","1","4","2",149385.75
1,21,38,"3","1","4","2","1","4","2",39217.25
2,20,37,"0","2","5","2","2","2","6",16287.8017578125
1,32,40,"1","3","15","2","1","2","2",20205.51953125
1,16,7,"1","11","3","6","1","4","2",24233.5625
2,34,10,"0","4","18","2","3","3","3",8077.3364257813
2,23,37,"2","1","4","2","1","2","2",15456.390625
1,32,35,"2","2","10","2","1","3","2",23688.494140625
1,56,39,"1","2","17","2","1","3","2",21690.822265625
1,45,36,"2","2","16","2","1","4","2",21977.4375
2,56,37,"1","1","4","2","1","2","2",34124.984375
2,29,20,"1","6","4","2","1","4","2",7192.3447265625
2,48,22,"1","3","3","2","1","2","2",26397.681640625
2,18,35,"2","2","11","2","1","4","1",19964.744140625
1,24,39,"2","10","6","2","1","4","1",25576.2890625
1,45,40,"0","2","6","2","1","4","3",7757.2783203125
2,19,37,"1","2","17","2","1","2","1",11136.353515625
2,65,15,"1","3","3","2","1","2","1",12152.5625
2,51,10,"0","2","15","2","1","2","3",6308.6259765625
1,29,40,"1","1","4","2","1","1","5",8137.2001953125
1,38,37,"2","1","4","2","1","4","2",17253.3828125
2,44,38,"2","1","4","2","1","4","2",64030.40625
2,42,23,"2","1","5","2","1","3","2",16790.25
1,29,37,"2","2","1","2","1","2","2",30955.078125
1,49,37,"1","1","3","2","1","1","2",11950.599609375
1,24,35,"0","8","18","2","1","2","2",32731.046875
1,57,39,"1","2","18","2","1","2","3",13368.19921875
1,16,5,"1","11","9","6","1","3","2",34878.4296875
2,51,50,"2","1","3","2","1","3","2",30421.919921875
1,39,35,"2","1","6","2","1","4","2",19037.82421875
1,63,37,"2","3","5","2","1","2","1",36459.03515625
1,18,12,"0","3","3","6","1","7","2",8076.353515625
1,37,37,"0","2","11","2","1","4","3",18869.298828125
2,23,37,"3","1","5","2","1","4","2",53660.8203125
1,24,38,"3","1","8","2","1","3","2",20763.205078125
2,23,22,"1","1","17","2","2","2","7",6949.5737304688
1,46,37,"1","1","10","2","1","4","2",20604.388671875
2,48,37,"2","1","3","2","1","2","2",36701.1171875
2,34,20,"0","2","8","2","1","3","2",5061.9311523438
1,41,35,"1","1","2","2","1","3","1",27251.3203125
2,45,20,"2","1","5","2","1","2","2",26092.470703125
1,25,40,"2","6","18","2","1","2","7",22271.28125
1,59,24,"1","2","6","2","1","2","2",19291.095703125
2,21,35,"3","6","3","2","1","3","2",44270.80859375
2,45,30,"1","1","3","2","1","3","6",34622.7109375
1,52,47,"2","3","17","2","1","3","2",46247.85546875
1,26,2,"2","2","13","6","2","4","2",11323.0185546875
1,21,38,"3","2","1","2","1","3","5",22733.103515625
1,31,37,"1","1","11","2","1","1","2",15679.580078125
1,31,40,"1","1","7","2","1","2","3",21178.5234375
1,64,45,"2","1","16","2","1","3","1",18762.3671875
2,22,36,"1","2","17","2","1","2","2",18727.734375
2,54,38,"2","1","9","2","1","2","2",41964.24609375
2,21,35,"3","2","12","2","1","4","1",32324.728515625
2,25,39,"2","3","16","2","1","2","7",16250.015625
1,53,37,"3","1","3","2","1","2","1",26232.59765625
2,56,11,"3","3","3","2","1","2","1",27829.9296875
1,17,33,"1","1","8","2","1","5","2",20827.115234375
2,43,37,"1","2","9","2","1","3","2",27492.7734375
1,23,35,"1","2","12","9","2","3","1",25131.091796875
1,47,44,"3","1","9","2","1","3","2",30221.2734375
2,33,39,"1","1","14","2","1","1","6",9292.1171875
1,29,39,"1","2","4","2","1","3","2",11461.431640625
1,45,72,"2","1","2","2","3","4","2",38346.0078125
2,19,11,"1","6","3","6","1","5","2",24357.537109375
2,22,37,"2","1","14","2","1","5","2",48357.74609375
2,36,20,"1","2","11","2","1","5","2",18178.05859375
1,41,38,"1","2","1","2","1","5","4",13715.2548828125
2,23,37,"0","2","1","2","1","2","7",23105.828125
1,47,39,"2","2","6","2","1","2","6",15726.400390625
1,57,35,"3","1","3","2","1","4","2",29172.9765625
2,43,70,"1","1","11","2","1","2","6",19039.642578125
2,63,35,"1","1","11","2","1","2","1",12548.919921875
1,38,39,"1","2","10","2","1","2","-9",15178.6396484375
2,33,2,"1","1","3","2","1","5","2",26764.451171875
2,27,37,"1","2","3","2","1","2","2",21827.994140625
2,45,22,"2","10","9","2","1","3","3",46357.56640625
1,55,39,"2","2","6","2","1","4","2",40044.890625
2,20,38,"3","1","3","2","1","3","2",42339.6796875
1,29,50,"2","1","17","2","1","3","2",16807.59375
1,60,40,"1","1","2","3","1","3","6",33986.94921875
2,37,11,"1","1","3","2","1","5","2",25220.576171875
2,37,35,"1","1","1","2","1","2","2",68005.078125
1,56,37,"1","2","15","2","1","2","2",13393.3828125
1,48,37,"2","3","17","2","1","2","2",17911.0859375
1,63,38,"1","2","8","2","1","2","3",13832.771484375
2,26,35,"1","1","4","2","1","2","2",30088.263671875
1,28,40,"1","2","1","2","2","3","-9",41905.01171875
1,58,55,"2","2","18","2","1","2","6",33936.66015625
2,52,20,"3","1","18","2","1","3","2",19503.87890625
1,18,38,"3","1","3","2","1","5","2",67705.8671875
2,18,11,"1","2","18","6","2","4","3",21728.66015625
2,37,38,"2","3","4","2","1","2","4",22152
1,29,35,"1","2","1","2","1","2","7",35342.79296875
1,27,39,"1","2","10","2","1","2","3",9742.955078125
1,52,39,"1","2","18","2","1","4","3",21728.66015625
2,74,10,"0","1","13","2","1","1","4",4677.2392578125
1,49,50,"1","2","6","2","1","3","2",28941.341796875
1,45,37,"1","3","4","2","1","4","2",17073.626953125
2,47,37,"2","2","2","2","1","2","1",40595.046875
1,40,37,"1","2","3","2","1","4","2",18609.453125
2,59,13,"1","2","16","2","1","3","4",14609.806640625
1,36,56,"1","1","16","2","1","4","5",21807.58203125
1,44,60,"1","1","8","2","1","4","2",27040.875
1,37,40,"3","3","6","2","1","3","2",5090.048828125
1,47,37,"2","3","6","2","1","3","2",21794.30859375
1,17,40,"2","1","12","2","1","4","2",78724
1,28,37,"2","2","2","2","1","2","7",26344.8359375
1,42,30,"1","2","7","2","1","1","2",16122.6806640625
2,28,37,"2","1","2","2","1","2","2",37940.390625
2,45,27,"1","3","3","2","1","4","1",22918.69140625
2,45,30,"3","3","3","2","1","5","2",22812.0625
2,45,35,"2","1","2","2","1","5","2",38622.6171875
2,39,16,"0","1","18","2","1","3","2",11018.548828125
1,37,40,"1","3","18","2","1","4","2",28334.41015625
2,55,37,"1","1","2","2","1","2","1",41417.48828125
2,44,17,"2","1","18","2","1","5","2",17178.01171875
2,59,25,"0","8","1","1","1","1","3",5648.4296875
2,33,37,"1","2","13","2","1","2","2",17204.283203125
2,25,35,"2","8","3","2","1","3","2",28078.732421875
1,46,37,"1","4","18","2","1","3","2",41080.6796875
2,44,25,"1","2","8","2","1","4","2",22566.4375
2,56,40,"1","2","12","2","1","1","1",2934.0959472656
1,49,40,"1","2","7","2","1","2","1",19381.38671875
1,27,36,"2","2","13","2","1","4","1",18558.919921875
1,35,39,"1","2","16","2","1","3","2",23844.3203125
1,24,39,"3","3","4","2","1","4","1",35647.078125
1,49,38,"2","3","5","2","1","2","2",34009.99609375
1,54,60,"2","1","3","2","1","2","2",25871.40625
1,57,38,"1","2","7","2","1","2","1",9972.439453125
2,32,21,"2","1","13","2","1","5","2",32630.212890625
1,46,40,"2","1","2","2","1","4","2",54488.72265625
1,55,39,"2","1","14","2","1","2","2",25149.69921875
1,32,42,"1","2","13","2","1","2","2",18254.71875
1,18,38,"2","6","6","2","1","4","5",40781.5546875
2,49,27,"1","2","3","2","1","3","2",34938.08984375
2,36,3,"1","2","4","2","1","4","2",18850.849609375
2,33,20,"1","2","6","2","1","6","2",21458.001953125
1,31,39,"1","1","3","2","1","4","2",17429.3671875
2,34,8,"1","2","18","2","3","4","2",16271.9267578125
1,34,45,"1","1","7","2","3","3","3",14494.7685546875
2,20,39,"1","2","11","2","1","4","3",25177.40625
1,62,38,"2","1","11","2","1","2","1",28302.7265625
2,19,37,"1","10","13","2","1","2","2",16992.56640625
1,33,40,"1","1","6","1","1","4","2",9151.5888671875
1,40,40,"1","3","5","2","1","4","2",19329.94140625
1,44,35,"3","1","3","2","1","4","2",31276.646484375
1,19,39,"3","2","16","2","1","4","1",31853.62109375
2,52,39,"0","2","11","2","1","4","3",30146.32421875
2,49,40,"2","3","10","2","1","3","2",27441.001953125
2,34,35,"2","2","3","8","1","3","2",45601.1875
1,39,15,"1","4","18","2","1","5","3",4834.0107421875
1,16,40,"2","1","13","9","1","4","2",71161.2734375
1,19,40,"1","2","5","2","1","5","6",12923.2822265625
1,41,37,"2","2","3","2","1","4","2",40026.53125
1,38,40,"1","1","16","2","1","5","2",22197.34765625
1,35,40,"1","6","13","2","1","2","2",26292.42578125
1,44,60,"1","2","16","2","1","5","5",17490.703125
1,43,39,"1","3","8","2","1","4","2",23268.5859375
2,41,19,"1","1","6","2","1","5","2",18725.12890625
2,43,33,"0","2","1","2","1","1","4",20876.033203125
2,44,40,"2","1","2","2","1","4","2",37499.9765625
2,16,40,"2","1","4","2","1","5","2",24076.658203125
2,35,35,"2","1","12","2","1","2","1",32106.1875
2,36,50,"2","1","4","2","1","2","2",25781.708984375
2,29,10,"3","3","3","2","1","3","2",22937.4140625
2,44,37,"1","2","17","2","1","2","2",32557.5390625
2,38,39,"1","10","18","2","2","5","2",11771.4072265625
2,26,7,"1","10","4","2","1","4","-9",7490.09375
1,19,65,"2","2","7","2","1","3","3",31115.2578125
2,42,40,"3","1","16","2","1","4","2",24060.798828125
2,23,27,"1","1","12","2","2","2","2",15070.71484375
2,28,19,"0","2","3","2","1","3","7",15063.984375
1,29,49,"1","1","6","2","1","5","3",13923.55859375
2,34,20,"1","2","8","2","1","4","3",12527.560546875
2,25,25,"2","10","1","2","2","3","7",14957.291015625
1,17,11,"2","3","3","6","1","3","1",18891.0625
1,35,40,"1","2","9","2","1","4","2",12181.4619140625
2,21,36,"1","2","9","2","1","3","1",32916.05078125
2,35,20,"1","1","14","2","1","3","2",21493.35546875
1,18,39,"1","10","14","2","1","5","2",19550.6171875
2,26,45,"2","2","7","2","1","3","2",34414.63671875
2,51,38,"1","11","2","2","1","2","3",13296.544921875
2,37,22,"0","2","11","2","1","4","3",18869.298828125
1,44,39,"1","10","13","2","1","3","3",9801.01953125
2,48,32,"0","2","3","2","1","5","2",30409.623046875
2,21,37,"3","1","3","2","1","4","2",56999.5390625
1,48,37,"1","2","15","2","1","3","1",12803.2705078125
1,23,50,"1","1","4","2","1","2","2",13972.16796875
2,40,35,"1","1","3","2","1","1","2",31488.439453125
1,44,42,"0","1","6","2","1","4","4",21354.9609375
2,41,37,"1","2","3","2","1","1","2",12621.294921875
1,40,37,"2","1","3","2","1","5","2",28451.744140625
2,45,30,"2","1","2","2","1","4","2",52042.453125
2,27,12,"1","1","4","2","1","4","2",9037.9169921875
1,40,39,"1","2","13","2","1","4","2",16078.416015625
2,51,17,"2","2","2","2","1","3","2",24643.10546875
1,36,60,"2","2","7","2","1","2","7",29082.294921875
1,20,40,"1","1","2","2","1","2","2",29843.310546875
1,21,45,"1","2","12","2","1","1","2",9404.66796875
1,48,40,"1","1","9","2","1","4","2",24162.197265625
2,39,12,"2","2","3","2","1","4","2",16170.47265625
2,19,40,"1","1","4","2","1","1","2",12839.224609375
1,37,35,"2","3","3","2","1","4","2",43264.484375
2,42,15,"1","2","4","2","1","4","2",19971.953125
1,46,45,"2","1","11","2","1","4","2",42919.765625
2,36,23,"0","2","15","2","1","4","4",14840.6650390625
1,49,37,"2","1","8","2","1","2","2",17766.9296875
2,39,35,"1","2","16","2","1","2","2",25542.541015625
1,42,36,"2","3","3","2","1","1","2",24416.38671875
1,18,40,"0","2","17","2","1","5","3",22206.224609375
2,47,37,"2","1","6","2","1","2","1",23708.984375
1,19,39,"0","1","12","2","1","5","2",18856.322265625
2,49,25,"0","2","3","2","1","1","3",6149.9272460938
1,52,39,"2","1","3","2","1","3","2",36703.30859375
1,54,50,"1","1","3","2","1","2","2",44997.91796875
2,37,28,"2","10","12","2","1","5","2",23719.03515625
1,23,39,"2","2","6","2","1","9","3",36168.578125
2,18,7,"1","3","6","2","2","4","2",21934.494140625
1,27,40,"1","1","18","2","1","2","2",25818.765625
1,19,39,"2","10","4","2","1","3","2",16709.89453125
2,21,37,"3","1","8","2","1","5","6",32827.59375
1,42,37,"2","2","17","2","1","4","1",33776.53515625
2,46,38,"2","1","3","2","1","3","2",29515.2265625
1,50,40,"0","2","12","2","1","3","3",26069.6328125
1,30,60,"0","10","3","2","1","4","2",13831.07421875
2,46,24,"0","2","17","2","1","3","3",14807.291015625
2,46,20,"1","1","12","2","1","2","4",18240
1,25,40,"3","1","4","2","1","4","1",47226.94140625
2,39,30,"0","2","12","2","1","2","2",13864.5732421875
1,17,38,"3","11","18","2","1","5","4",17469.669921875
2,26,35,"1","1","6","2","1","2","2",23480.439453125
2,39,15,"1","1","6","2","3","4","2",13709.658203125
2,46,38,"2","1","3","2","1","2","2",25871.40625
2,44,8,"2","3","8","2","1","4","2",25927.03515625
1,36,35,"1","2","1","2","1","3","2",57927.2421875
1,50,50,"2","2","3","2","1","3","2",22377.8046875
2,41,38,"2","2","16","2","1","4","2",36684.98046875
1,33,39,"1","2","13","2","1","5","2",15007.408203125
1,18,40,"3","10","2","9","1","5","2",28136.509765625
2,40,14,"0","4","18","2","3","3","2",17925.123046875
1,23,38,"2","1","1","2","1","3","4",22852.099609375
1,59,40,"1","2","18","2","1","2","2",33609.7421875
1,16,40,"2","2","17","2","2","5","1",8084.0078125
1,24,38,"0","2","3","2","1","3","7",15063.984375
2,29,15,"2","3","4","2","1","3","2",23822.841796875
2,38,37,"1","4","18","2","1","3","2",25460.189453125
1,22,45,"3","1","11","2","1","4","2",28636.607421875
2,60,6,"1","1","16","2","1","2","1",11324.765625
2,47,38,"1","2","16","2","1","2","1",17975.2578125
1,62,37,"0","1","6","2","1","3","1",19874.5703125
1,23,40,"0","10","6","2","1","2","7",9536.3515625
1,25,39,"1","2","17","2","1","1","2",8395.1201171875
1,35,37,"1","3","3","2","1","1","2",24591.54296875
1,60,50,"1","2","3","2","1","3","1",17477.8046875
2,41,39,"1","2","17","2","1","4","3",14862.640625
2,42,38,"2","1","11","2","1","4","2",49245.4609375
1,64,39,"1","1","18","2","1","2","3",15600
1,44,37,"2","1","3","2","1","4","2",39960.0234375
1,28,41,"2","1","8","2","1","2","2",34589.328125
1,65,20,"1","8","6","2","1","2","1",12142.5244140625
2,46,16,"2","2","7","2","1","5","3",31284.828125
2,46,37,"1","1","11","2","1","2","2",12847.5078125
1,49,40,"1","3","12","2","1","3","2",19448.05859375
2,53,37,"1","3","15","2","1","1","1",14892.0419921875
2,16,34,"1","11","9","2","1","4","2",11417.9833984375
1,26,8,"0","3","8","6","2","4","2",7257.8408203125
2,37,15,"2","2","3","2","2","4","2",17161.455078125
2,55,39,"1","2","6","2","1","2","2",19291.095703125
2,44,33,"3","1","3","2","1","6","2",46265.1875
1,63,40,"1","1","3","2","1","3","1",38686.09375
2,17,37,"1","3","4","2","1","2","7",20602.619140625
2,46,34,"1","1","9","2","1","2","2",19927.36328125
1,46,37,"1","4","18","2","1","5","2",18333.375
2,21,39,"0","2","18","2","1","3","2",10182.7294921875
2,25,40,"1","3","3","2","1","4","1",19165.08984375
2,28,37,"0","3","13","2","1","2","6",7217.4326171875
2,25,50,"0","1","2","2","1","1","7",21019.34765625
1,17,36,"1","2","16","9","3","6","3",7019.03125
1,49,35,"2","1","18","2","1","4","2",42886.5546875
1,44,37,"1","1","4","2","1","4","2",18786.763671875
2,58,16,"1","3","1","2","1","2","6",12119.251953125
2,45,20,"2","3","10","2","1","2","2",9678.234375
2,24,25,"2","6","3","2","1","4","2",18985.779296875
1,50,36,"1","1","2","2","1","4","2",28143.4453125
2,19,10,"1","6","2","2","2","3","2",18088.607421875
2,50,31,"1","3","2","2","1","3","1",8294.482421875
1,57,37,"1","1","2","2","1","2","1",41417.48828125
1,22,40,"3","1","11","2","1","4","2",25535.876953125
2,32,35,"1","1","8","2","1","2","2",26731.94921875
2,26,37,"2","11","14","2","1","2","7",20556.7421875
1,63,60,"0","2","1","2","1","2","3",11086.1904296875
1,31,35,"0","2","2","2","1","1","3",8113.5947265625
2,48,13,"0","2","9","2","1","3","2",7605.33984375
1,33,39,"1","2","18","2","1","4","3",35762.0859375
1,43,44,"1","1","3","2","1","3","1",24040.5
2,52,25,"1","1","4","2","1","2","1",13853.62890625
1,39,41,"2","1","14","2","1","4","2",22698.7109375
2,35,25,"2","2","16","2","2","4","2",9836.80859375
1,20,39,"0","10","18","2","1","4","3",18816.861328125
1,53,40,"1","2","14","2","1","2","2",13065.716796875
1,41,38,"3","3","8","2","1","4","2",39452.6484375
2,41,39,"1","2","11","2","1","2","2",15684.248046875
1,27,35,"1","1","9","2","1","2","2",24781.140625
2,44,30,"3","1","4","2","1","4","2",39217.25
1,28,97,"1","1","6","2","1","2","6",22041.130859375
2,23,20,"1","2","3","2","1","4","4",18946.392578125
2,19,35,"2","2","8","2","1","4","2",18633.84765625
2,42,20,"1","3","2","2","1","4","2",19584.912109375
2,55,40,"1","1","6","2","1","2","6",13071.294921875
1,31,40,"3","1","18","2","1","4","3",46297.5859375
2,30,38,"1","1","8","2","1","2","2",14927.634765625
2,32,35,"2","1","2","2","1","2","2",19807.14453125
1,26,9,"1","4","18","2","3","4","7",24771.587890625
2,48,12,"0","2","8","2","1","3","2",8906.1328125
2,26,37,"2","1","3","2","1","2","7",18378.46484375
1,25,40,"1","1","11","2","1","1","7",13605.7548828125
2,31,37,"1","3","12","2","1","2","2",10882.0576171875
1,51,40,"3","3","2","2","1","7","2",57410.796875
2,53,11,"1","1","2","2","1","2","1",15655.873046875
2,40,25,"2","10","14","2","1","2","2",46403.234375
2,21,39,"1","3","4","2","1","2","2",25510.0390625
2,39,37,"2","1","4","2","1","4","2",20054.33203125
1,44,40,"2","1","3","2","1","3","2",24062.693359375
1,40,36,"2","1","2","2","1","3","1",63951.13671875
2,60,15,"0","3","14","2","1","2","3",15213.0126953125
2,25,37,"1","1","11","2","1","4","2",16580.76171875
2,41,20,"1","1","13","2","1","4","2",23519.0078125
1,28,35,"2","1","9","2","1","3","1",22508.08203125
2,36,20,"0","10","4","2","2","3","3",6255.259765625
1,51,40,"1","2","10","3","1","3","2",27710.884765625
2,34,10,"1","2","4","2","1","4","2",14550.7890625
1,26,42,"0","1","3","2","1","3","3",15210.8046875
1,35,42,"1","1","3","2","1","6","2",18736.91015625
2,43,32,"1","1","9","2","1","2","2",14095.3603515625
2,60,30,"0","2","13","2","1","2","3",13856.787109375
2,49,2,"2","1","4","2","2","3","2",13774.35546875
2,20,33,"2","1","2","2","1","4","2",25115.890625
1,31,40,"1","2","9","2","1","5","3",9995.1845703125
2,36,30,"2","1","6","2","1","4","1",29872.34765625
1,40,30,"1","2","17","2","1","4","3",14862.640625
1,19,47,"1","1","6","2","1","2","7",17393.521484375
1,19,35,"1","10","6","2","1","5","2",22852.671875
1,25,35,"0","1","4","2","1","1","2",16867.8515625
1,52,40,"1","2","4","2","1","2","2",16140.634765625
1,31,37,"2","8","16","2","1","4","2",23673.697265625
1,22,39,"1","2","10","2","1","3","1",16234.16015625
1,57,40,"1","2","12","2","1","2","2",13075.400390625
1,55,42,"3","1","3","2","1","2","2",28745.03515625
1,50,40,"1","10","6","2","1","1","2",11313.7998046875
1,43,60,"2","1","13","2","1","4","2",31153.556640625
1,32,70,"1","1","4","2","1","1","2",9226.599609375
2,17,8,"1","2","3","6","2","4","2",24699.646484375
1,63,39,"1","2","5","2","1","2","3",7349.7573242188
1,46,38,"2","1","13","2","1","4","2",39125.60546875
2,32,84,"2","3","15","2","3","2","2",24187.8359375
2,51,20,"1","1","15","2","1","3","1",20515.115234375
1,48,39,"0","2","18","2","1","4","3",20942.439453125
2,32,37,"2","11","4","2","1","2","6",12545.599609375
2,21,6,"1","2","6","2","1","5","3",6862.4541015625
2,32,16,"1","2","4","2","1","4","2",15840.18359375
1,55,38,"1","1","15","2","1","2","2",17007.9765625
2,44,32,"1","3","13","2","1","4","2",23706.646484375
1,53,38,"1","2","2","2","1","2","1",15655.873046875
1,20,40,"1","2","12","2","3","3","3",9901.89453125
1,35,37,"1","2","8","2","1","3","2",12766.958984375
2,44,22,"1","1","6","2","1","4","3",12079.5087890625
2,29,37,"1","3","16","2","1","4","2",30646.041015625
2,53,24,"2","10","4","2","1","5","2",33246.4453125
2,18,39,"1","2","18","2","2","5","3",21259.87890625
1,31,84,"0","1","10","2","2","3","3",5751.35546875
2,20,35,"3","2","2","2","1","3","2",27508.078125
2,59,16,"2","1","4","2","1","2","1",11088.63671875
1,56,30,"1","1","4","2","1","2","1",23216.75
1,16,11,"1","3","9","6","3","4","6",33257.28125
1,49,39,"0","2","11","2","1","5","2",22716.466796875
1,45,35,"2","1","18","2","1","2","2",38080.78125
2,29,36,"1","10","6","2","1","2","2",45516.3515625
1,25,37,"3","1","17","2","1","2","2",22798.71484375
2,23,35,"2","1","11","2","1","2","2",29784.8046875
1,32,39,"1","2","12","2","1","2","2",22617.19921875
2,27,37,"0","4","18","2","1","1","2",13982.8330078125
2,38,35,"1","2","12","2","1","4","2",18794.6328125
2,42,6,"0","2","18","2","1","4","3",18816.861328125
1,23,35,"1","2","1","2","1","5","2",33593.375
1,20,35,"1","1","3","2","1","2","2",21535.94140625
2,33,11,"1","2","2","2","2","4","4",18918.158203125
1,42,37,"2","1","16","2","1","4","2",36684.98046875
1,25,50,"1","1","7","2","1","3","2",25225.60546875
2,22,39,"0","1","18","2","1","1","2",10371.505859375
1,73,5,"0","1","9","2","2","1","1",6182.302734375
1,33,37,"1","2","16","2","1","2","1",14459.13671875
1,27,35,"2","3","3","2","1","2","2",26751.9765625
1,44,55,"1","1","13","2","1","4","2",18734.12109375
2,25,20,"1","1","18","2","1","4","3",19089.4140625
2,59,20,"0","4","18","2","1","2","1",8759.5869140625
2,58,24,"2","1","16","2","1","2","2",22737.51171875
1,16,45,"1","11","3","2","1","3","2",31603.32421875
2,42,39,"2","1","3","2","1","6","2",34782.3203125
1,62,19,"1","1","5","2","1","1","6",4966.185546875
1,19,48,"1","2","17","2","1","3","6",24129.302734375
1,47,40,"1","2","8","2","1","2","2",18458.02734375
2,44,11,"2","1","6","2","1","3","1",16039.48046875
1,44,39,"2","2","4","2","1","4","2",20657.5390625
1,59,55,"2","1","18","2","1","2","2",60024.015625
2,19,27,"2","1","13","2","1","4","2",39125.60546875
2,50,30,"2","10","2","2","1","2","1",22976.228515625
1,21,70,"3","1","5","2","1","5","1",20662.724609375
2,17,7,"1","2","6","6","1","4","2",34896.28515625
1,39,38,"1","2","13","2","1","4","2",23706.646484375
2,48,35,"1","2","3","2","1","2","4",18739.642578125
1,26,40,"2","2","7","2","1","2","2",27407.27734375
2,43,45,"1","2","11","2","1","1","2",13645
1,40,80,"2","1","4","2","1","3","1",11780.998046875
1,44,38,"1","2","4","2","1","4","2",24204.595703125
1,48,45,"1","1","6","2","1","4","2",34896.28515625
1,29,39,"2","1","7","2","1","3","2",41858.94921875
1,40,37,"2","1","3","2","1","3","2",23498.1640625
1,22,37,"2","1","6","2","1","3","2",23181.30078125
2,49,25,"1","10","3","2","1","3","2",38375.109375
1,19,40,"1","3","3","2","1","2","2",18071.11328125
2,47,37,"2","1","7","2","1","2","2",27680.6640625
1,61,39,"2","1","9","2","1","2","2",22843.654296875
2,53,32,"2","2","13","2","1","3","1",25550.23828125
2,40,1,"0","2","13","5","2","4","3",9763.6337890625
1,56,35,"1","1","3","2","1","1","2",10676
1,23,40,"1","2","3","2","1","2","2",28357.0078125
2,31,50,"3","3","4","2","1","2","2",46092.7421875
1,34,45,"2","1","16","2","1","4","2",13952.0693359375
2,25,40,"1","2","17","2","1","3","2",22982.40625
2,45,16,"2","2","3","2","1","3","2",22377.8046875
1,41,40,"0","3","3","2","1","5","3",23024.095703125
2,37,37,"1","2","9","2","1","4","2",38776.89453125
2,63,29,"0","1","1","2","1","1","1",12822.1826171875
1,31,40,"1","1","9","2","1","4","2",28419.33984375
2,47,35,"1","5","17","2","1","2","6",14929.9013671875
1,57,37,"1","2","9","2","1","2","1",16630.248046875
1,46,39,"1","1","4","2","1","2","2",18843.3203125
1,47,39,"3","1","3","2","1","4","2",56999.5390625
2,22,35,"2","1","5","2","1","4","1",30336.08203125
1,23,37,"0","8","6","2","1","3","2",8910.7587890625
1,44,50,"2","2","14","2","1","5","2",30300.57421875
2,57,9,"0","2","9","2","1","2","3",7960.2939453125
1,59,40,"1","2","5","2","1","2","6",11884.1015625
2,29,9,"2","10","4","2","1","6","3",13896.3603515625
2,59,37,"1","2","4","2","1","2","2",19296.19921875
2,56,7,"1","1","18","2","2","4","3",29536.5078125
2,34,37,"2","3","7","2","1","2","2",27989.814453125
2,27,37,"2","1","4","2","1","2","7",49724.03125
1,50,37,"2","2","9","2","1","3","2",37513.8671875
1,34,48,"2","1","3","2","1","4","2",24655.599609375
1,33,37,"1","7","4","2","1","3","2",19848.78125
1,26,40,"1","10","14","2","1","3","6",10891.4208984375
1,49,57,"2","2","11","2","1","4","1",19964.744140625
2,38,25,"2","2","6","2","1","4","2",23321.83203125
2,44,39,"2","8","12","2","1","5","1",66252.3046875
2,41,20,"3","3","3","2","1","5","2",24884.607421875
1,48,55,"3","1","18","2","1","3","2",54023.5078125
1,61,39,"2","3","3","2","1","2","6",7937.599609375
1,47,37,"0","2","3","2","1","4","3",20252.4296875
2,31,22,"1","1","2","2","1","3","2",16320.029296875
1,24,30,"0","2","8","2","3","3","3",15692.1806640625
1,35,40,"1","1","3","2","1","5","2",20211.904296875
1,44,37,"1","1","18","2","1","3","2",22532.857421875
2,46,5,"2","1","11","2","2","4","2",38283.65625
1,38,40,"2","1","3","2","1","3","2",32824.97265625
2,35,20,"1","1","4","2","1","4","2",30809.123046875
2,44,35,"2","2","8","2","1","3","2",22827.373046875
1,22,8,"1","2","1","6","3","3","2",16264.958984375
1,30,38,"1","2","4","2","1","2","2",26197.025390625
1,42,37,"1","2","15","2","1","2","2",25183.5546875
1,34,41,"0","1","2","2","1","1","2",14121.1826171875
1,68,20,"1","10","3","2","2","2","3",7107.4858398438
1,43,40,"1","1","17","2","1","3","2",20056.12109375
1,58,40,"0","2","8","2","1","1","3",11175.900390625
2,49,12,"0","2","16","2","1","2","1",12841.986328125
1,22,36,"1","10","7","2","1","3","3",25812.1484375
1,53,40,"2","1","6","2","1","4","3",15031.6484375
2,30,36,"1","7","4","2","1","3","2",15724.2802734375
2,53,24,"1","1","4","2","1","2","2",11571.89453125
2,36,38,"2","3","16","2","1","3","2",34960.3984375
1,26,39,"1","2","18","2","1","2","2",17555.923828125
1,53,39,"3","1","4","2","1","2","1",12165.5
1,30,37,"0","2","1","2","1","2","2",27117.640625
2,41,38,"1","1","4","2","1","2","6",13043.935546875
2,56,40,"0","1","4","2","1","1","2",8900
1,48,30,"2","3","4","2","1","2","2",38451.046875
2,28,25,"1","1","5","2","1","5","2",14063.326171875
2,27,40,"1","6","1","2","1","3","2",51967.03125
2,36,20,"0","2","13","2","1","4","2",20700.984375
